,filename,semantic_label,numeric_label,partition,task,partition_challenge
91,001130.png,golden_retriever,0.0,val,target,val
92,000872.png,golden_retriever,0.0,test,target,test
93,005918.png,collie,1.0,train,target,train
94,002356.png,golden_retriever,0.0,test,target,val
95,002273.png,golden_retriever,0.0,test,target,train
96,004624.png,collie,1.0,train,target,train
97,003287.png,golden_retriever,0.0,train,target,test
98,002499.png,golden_retriever,0.0,test,target,train
99,005338.png,collie,1.0,val,target,train
100,002709.png,golden_retriever,0.0,train,target,val
101,003095.png,golden_retriever,0.0,val,target,test
102,003175.png,collie,1.0,train,target,train
103,000241.png,golden_retriever,0.0,val,target,val
104,003323.png,golden_retriever,0.0,train,target,train
105,003072.png,collie,1.0,val,target,train
106,001726.png,golden_retriever,0.0,train,target,val
107,001075.png,golden_retriever,0.0,train,target,test
108,003739.png,collie,1.0,train,target,train
109,002873.png,collie,1.0,train,target,train
110,002103.png,collie,1.0,train,target,test
111,003664.png,collie,1.0,train,target,train
112,001722.png,collie,1.0,train,target,test
113,002770.png,golden_retriever,0.0,train,target,test
114,001461.png,golden_retriever,0.0,train,target,test
115,002305.png,golden_retriever,0.0,test,target,val
116,000410.png,golden_retriever,0.0,val,target,train
117,001402.png,golden_retriever,0.0,train,target,train
118,003357.png,golden_retriever,0.0,val,target,val
119,001489.png,golden_retriever,0.0,test,target,test
120,004969.png,collie,1.0,val,target,val
121,005903.png,collie,1.0,val,target,train
122,001768.png,collie,1.0,train,target,train
123,005675.png,collie,1.0,train,target,train
124,002763.png,golden_retriever,0.0,train,target,test
125,007425.png,collie,1.0,test,target,val
126,000367.png,golden_retriever,0.0,train,target,train
127,004111.png,collie,1.0,val,target,train
128,001023.png,collie,1.0,test,target,train
129,004274.png,collie,1.0,val,target,train
130,003393.png,golden_retriever,0.0,val,target,test
131,002723.png,collie,1.0,train,target,val
132,003415.png,golden_retriever,0.0,train,target,train
133,002612.png,golden_retriever,0.0,train,target,test
134,001594.png,collie,1.0,train,target,train
135,000616.png,golden_retriever,0.0,train,target,test
136,002500.png,collie,1.0,train,target,test
137,001475.png,golden_retriever,0.0,val,target,train
138,004989.png,collie,1.0,val,target,train
139,005025.png,collie,1.0,train,target,train
140,002465.png,golden_retriever,0.0,train,target,train
141,003044.png,golden_retriever,0.0,train,target,train
142,000101.png,collie,1.0,test,target,train
143,000393.png,golden_retriever,0.0,train,target,train
144,000665.png,collie,1.0,val,target,train
145,000986.png,collie,1.0,train,target,test
146,003632.png,collie,1.0,val,target,train
147,002241.png,golden_retriever,0.0,test,target,val
148,001682.png,golden_retriever,0.0,val,target,train
149,000556.png,golden_retriever,0.0,val,target,test
150,005908.png,collie,1.0,val,target,train
151,003764.png,collie,1.0,train,target,train
152,001704.png,golden_retriever,0.0,val,target,train
153,002802.png,golden_retriever,0.0,test,target,test
154,007040.png,collie,1.0,test,target,test
155,002287.png,collie,1.0,train,target,train
156,004854.png,collie,1.0,train,target,train
157,000224.png,golden_retriever,0.0,train,target,test
158,002587.png,golden_retriever,0.0,val,target,train
159,002475.png,collie,1.0,train,target,train
160,004809.png,collie,1.0,train,target,test
161,003154.png,golden_retriever,0.0,train,target,train
162,000496.png,collie,1.0,test,target,test
163,000386.png,golden_retriever,0.0,train,target,train
164,007785.png,collie,1.0,test,target,val
165,000704.png,golden_retriever,0.0,train,target,test
166,000977.png,collie,1.0,val,target,test
167,002132.png,collie,1.0,train,target,train
168,003130.png,collie,1.0,train,target,val
169,001750.png,collie,1.0,train,target,train
170,002913.png,golden_retriever,0.0,train,target,train
171,002440.png,golden_retriever,0.0,val,target,train
172,003112.png,golden_retriever,0.0,train,target,val
173,002627.png,golden_retriever,0.0,train,target,train
174,001862.png,golden_retriever,0.0,test,target,train
175,005823.png,collie,1.0,train,target,train
176,000859.png,collie,1.0,val,target,train
177,005842.png,collie,1.0,val,target,test
178,001700.png,golden_retriever,0.0,train,target,train
179,000648.png,collie,1.0,val,target,train
180,000830.png,golden_retriever,0.0,train,target,train
181,006991.png,collie,1.0,test,target,test
182,002505.png,golden_retriever,0.0,train,target,train
183,001747.png,golden_retriever,0.0,train,target,train
184,001125.png,golden_retriever,0.0,train,target,test
185,004701.png,collie,1.0,train,target,train
186,000683.png,golden_retriever,0.0,train,target,train
187,000600.png,golden_retriever,0.0,train,target,val
188,000493.png,golden_retriever,0.0,train,target,val
189,001235.png,collie,1.0,train,target,train
190,003146.png,golden_retriever,0.0,train,target,val
191,001672.png,golden_retriever,0.0,train,target,test
192,006234.png,collie,1.0,test,target,train
193,007054.png,collie,1.0,test,target,val
194,001208.png,collie,1.0,test,target,train
195,004888.png,collie,1.0,train,target,train
196,005317.png,collie,1.0,train,target,val
197,004078.png,collie,1.0,val,target,test
198,000394.png,collie,1.0,val,target,train
199,004750.png,collie,1.0,train,target,val
200,004420.png,collie,1.0,train,target,test
201,002710.png,golden_retriever,0.0,train,target,train
202,002280.png,collie,1.0,val,target,train
203,000232.png,golden_retriever,0.0,train,target,train
204,002284.png,golden_retriever,0.0,test,target,train
205,000936.png,golden_retriever,0.0,train,target,val
206,001525.png,golden_retriever,0.0,train,target,train
207,001569.png,collie,1.0,train,target,val
208,001367.png,collie,1.0,train,target,train
209,002197.png,collie,1.0,train,target,train
210,001891.png,golden_retriever,0.0,train,target,test
211,000170.png,golden_retriever,0.0,val,target,test
212,002885.png,golden_retriever,0.0,train,target,train
213,000261.png,golden_retriever,0.0,train,target,test
214,001150.png,collie,1.0,test,target,train
215,000038.png,golden_retriever,0.0,train,target,train
216,001420.png,golden_retriever,0.0,val,target,train
217,002502.png,golden_retriever,0.0,val,target,test
218,000672.png,golden_retriever,0.0,train,target,train
219,005970.png,collie,1.0,train,target,train
220,002243.png,golden_retriever,0.0,test,target,val
221,000631.png,golden_retriever,0.0,val,target,train
222,000732.png,collie,1.0,test,target,train
223,002607.png,collie,1.0,train,target,train
224,000995.png,golden_retriever,0.0,test,target,train
225,001653.png,collie,1.0,train,target,train
226,002863.png,golden_retriever,0.0,val,target,train
227,005909.png,collie,1.0,val,target,val
228,003569.png,collie,1.0,train,target,test
229,000939.png,collie,1.0,train,target,train
230,003505.png,collie,1.0,train,target,train
231,002757.png,collie,1.0,train,target,val
232,003028.png,golden_retriever,0.0,val,target,train
233,003068.png,golden_retriever,0.0,val,target,train
234,003491.png,collie,1.0,val,target,test
235,002854.png,golden_retriever,0.0,train,target,train
236,002268.png,collie,1.0,val,target,val
237,006282.png,collie,1.0,test,target,train
238,002870.png,golden_retriever,0.0,val,target,val
239,004301.png,collie,1.0,train,target,test
240,000336.png,golden_retriever,0.0,train,target,train
241,000139.png,golden_retriever,0.0,val,target,val
242,002929.png,golden_retriever,0.0,test,target,test
243,001247.png,golden_retriever,0.0,train,target,test
244,003909.png,collie,1.0,val,target,train
245,006045.png,collie,1.0,test,target,test
246,005601.png,collie,1.0,train,target,train
247,000032.png,collie,1.0,train,target,train
248,003115.png,golden_retriever,0.0,train,target,train
249,000591.png,collie,1.0,train,target,train
250,005767.png,collie,1.0,val,target,train
251,001151.png,golden_retriever,0.0,val,target,train
252,000185.png,collie,1.0,train,target,train
253,001512.png,golden_retriever,0.0,train,target,train
254,002001.png,collie,1.0,val,target,train
255,001894.png,golden_retriever,0.0,train,target,val
256,002836.png,golden_retriever,0.0,train,target,train
257,002389.png,collie,1.0,val,target,test
258,000195.png,collie,1.0,val,target,test
259,002544.png,golden_retriever,0.0,val,target,train
260,004135.png,collie,1.0,val,target,val
261,001837.png,golden_retriever,0.0,val,target,test
262,001465.png,golden_retriever,0.0,test,target,test
263,001203.png,golden_retriever,0.0,train,target,test
264,002687.png,collie,1.0,val,target,train
265,000823.png,golden_retriever,0.0,val,target,train
266,005985.png,collie,1.0,train,target,test
267,003336.png,collie,1.0,val,target,train
268,002430.png,golden_retriever,0.0,train,target,val
269,003522.png,collie,1.0,train,target,train
270,000681.png,golden_retriever,0.0,test,target,test
271,003218.png,collie,1.0,train,target,val
272,001040.png,golden_retriever,0.0,train,target,train
273,000404.png,golden_retriever,0.0,train,target,test
274,006019.png,collie,1.0,train,target,train
275,000942.png,collie,1.0,test,target,train
276,000315.png,golden_retriever,0.0,train,target,test
277,000305.png,collie,1.0,train,target,val
278,000566.png,golden_retriever,0.0,val,target,train
279,002621.png,golden_retriever,0.0,train,target,train
280,003317.png,collie,1.0,train,target,train
281,005891.png,collie,1.0,train,target,train
282,001314.png,golden_retriever,0.0,val,target,train
283,001501.png,golden_retriever,0.0,val,target,test
284,001221.png,golden_retriever,0.0,test,target,train
285,002818.png,golden_retriever,0.0,test,target,train
286,005567.png,collie,1.0,train,target,test
287,000194.png,golden_retriever,0.0,val,target,test
288,001240.png,collie,1.0,val,target,train
289,005608.png,collie,1.0,train,target,test
290,002435.png,collie,1.0,train,target,train
291,001754.png,golden_retriever,0.0,train,target,train
292,000540.png,golden_retriever,0.0,test,target,train
293,002509.png,golden_retriever,0.0,train,target,train
294,001740.png,golden_retriever,0.0,train,target,train
295,001159.png,collie,1.0,test,target,test
296,000045.png,collie,1.0,test,target,train
297,001191.png,golden_retriever,0.0,train,target,test
298,000222.png,golden_retriever,0.0,train,target,train
299,000489.png,golden_retriever,0.0,train,target,train
300,000735.png,golden_retriever,0.0,train,target,val
301,000923.png,golden_retriever,0.0,val,target,val
302,000890.png,golden_retriever,0.0,train,target,train
303,005931.png,collie,1.0,train,target,val
304,000339.png,collie,1.0,train,target,train
305,007743.png,collie,1.0,test,target,test
306,003426.png,golden_retriever,0.0,val,target,train
307,000031.png,golden_retriever,0.0,train,target,val
308,003576.png,collie,1.0,train,target,train
309,004396.png,collie,1.0,train,target,train
310,001507.png,golden_retriever,0.0,train,target,test
311,001043.png,golden_retriever,0.0,train,target,val
312,000075.png,golden_retriever,0.0,train,target,train
313,004575.png,collie,1.0,train,target,val
314,000400.png,golden_retriever,0.0,val,target,test
315,000814.png,golden_retriever,0.0,test,target,train
316,006751.png,collie,1.0,test,target,test
317,004006.png,collie,1.0,train,target,train
318,006700.png,collie,1.0,test,target,train
319,000602.png,golden_retriever,0.0,test,target,train
320,003126.png,golden_retriever,0.0,val,target,train
321,000943.png,golden_retriever,0.0,train,target,test
322,004725.png,collie,1.0,train,target,val
323,001445.png,golden_retriever,0.0,train,target,test
324,002560.png,golden_retriever,0.0,train,target,train
325,003343.png,golden_retriever,0.0,train,target,train
326,003992.png,collie,1.0,train,target,train
327,001493.png,collie,1.0,train,target,test
328,005932.png,collie,1.0,val,target,train
329,003114.png,golden_retriever,0.0,train,target,train
330,006000.png,collie,1.0,val,target,test
331,001647.png,golden_retriever,0.0,train,target,train
332,005223.png,collie,1.0,train,target,train
333,000274.png,collie,1.0,train,target,train
334,007231.png,collie,1.0,test,target,test
335,000390.png,golden_retriever,0.0,test,target,train
336,004165.png,collie,1.0,val,target,test
337,001688.png,collie,1.0,train,target,train
338,000940.png,collie,1.0,val,target,train
339,002591.png,golden_retriever,0.0,train,target,train
340,000131.png,golden_retriever,0.0,val,target,train
341,002696.png,golden_retriever,0.0,val,target,test
342,001044.png,golden_retriever,0.0,train,target,val
343,000613.png,collie,1.0,test,target,train
344,005751.png,collie,1.0,val,target,val
345,000106.png,collie,1.0,val,target,test
346,003190.png,golden_retriever,0.0,train,target,train
347,005976.png,collie,1.0,train,target,train
348,001499.png,golden_retriever,0.0,val,target,val
349,006171.png,collie,1.0,test,target,train
350,001728.png,golden_retriever,0.0,train,target,val
351,000517.png,golden_retriever,0.0,train,target,train
352,001041.png,golden_retriever,0.0,val,target,train
353,000010.png,collie,1.0,train,target,test
354,001995.png,collie,1.0,train,target,train
355,000525.png,collie,1.0,test,target,val
356,003389.png,golden_retriever,0.0,train,target,train
357,001406.png,golden_retriever,0.0,train,target,train
358,004817.png,collie,1.0,train,target,train
359,002049.png,collie,1.0,train,target,train
360,000614.png,collie,1.0,train,target,val
361,001834.png,golden_retriever,0.0,train,target,test
362,002135.png,collie,1.0,train,target,test
363,002630.png,golden_retriever,0.0,train,target,test
364,002637.png,golden_retriever,0.0,train,target,train
365,003429.png,golden_retriever,0.0,val,target,train
366,002633.png,collie,1.0,train,target,test
367,001405.png,golden_retriever,0.0,train,target,train
368,004042.png,collie,1.0,train,target,train
369,002320.png,golden_retriever,0.0,test,target,test
370,001724.png,golden_retriever,0.0,train,target,test
371,000621.png,golden_retriever,0.0,test,target,train
372,001483.png,golden_retriever,0.0,train,target,train
373,001813.png,golden_retriever,0.0,test,target,val
374,000631.png,golden_retriever,0.0,test,target,train
375,000453.png,golden_retriever,0.0,train,target,train
376,001820.png,collie,1.0,train,target,test
377,000902.png,collie,1.0,train,target,test
378,002306.png,golden_retriever,0.0,test,target,train
379,001371.png,golden_retriever,0.0,test,target,val
380,003982.png,collie,1.0,train,target,train
381,000166.png,golden_retriever,0.0,train,target,test
382,000422.png,golden_retriever,0.0,test,target,test
383,002664.png,collie,1.0,train,target,train
384,002497.png,collie,1.0,train,target,train
385,003669.png,collie,1.0,train,target,test
386,000434.png,golden_retriever,0.0,train,target,val
387,000377.png,golden_retriever,0.0,train,target,val
388,002066.png,golden_retriever,0.0,test,target,train
389,000553.png,golden_retriever,0.0,train,target,train
390,004216.png,collie,1.0,train,target,val
391,000776.png,golden_retriever,0.0,val,target,test
392,001223.png,golden_retriever,0.0,val,target,val
393,005475.png,collie,1.0,train,target,train
394,002542.png,golden_retriever,0.0,train,target,train
395,000385.png,golden_retriever,0.0,train,target,train
396,000432.png,golden_retriever,0.0,train,target,val
397,002147.png,collie,1.0,train,target,train
398,000593.png,golden_retriever,0.0,train,target,test
399,000137.png,golden_retriever,0.0,train,target,test
400,000212.png,collie,1.0,test,target,train
401,006315.png,collie,1.0,test,target,train
402,004663.png,collie,1.0,val,target,train
403,000173.png,golden_retriever,0.0,train,target,test
404,000681.png,golden_retriever,0.0,train,target,train
405,000291.png,golden_retriever,0.0,val,target,train
406,003039.png,collie,1.0,train,target,val
407,002864.png,collie,1.0,val,target,test
408,004192.png,collie,1.0,val,target,val
409,004893.png,collie,1.0,train,target,val
410,000409.png,collie,1.0,val,target,val
411,002043.png,collie,1.0,train,target,train
412,004079.png,collie,1.0,val,target,test
413,005879.png,collie,1.0,val,target,train
414,002292.png,collie,1.0,train,target,train
415,002602.png,collie,1.0,train,target,val
416,002104.png,collie,1.0,train,target,val
417,002426.png,golden_retriever,0.0,train,target,train
418,000300.png,golden_retriever,0.0,val,target,train
419,001655.png,golden_retriever,0.0,train,target,train
420,000675.png,golden_retriever,0.0,val,target,val
421,006065.png,collie,1.0,test,target,test
422,001860.png,golden_retriever,0.0,val,target,train
423,000399.png,golden_retriever,0.0,train,target,train
424,001796.png,golden_retriever,0.0,test,target,train
425,000020.png,collie,1.0,train,target,test
426,003392.png,collie,1.0,train,target,train
427,002821.png,golden_retriever,0.0,train,target,test
428,000566.png,golden_retriever,0.0,test,target,train
429,006753.png,collie,1.0,test,target,test
430,000862.png,golden_retriever,0.0,train,target,train
431,001104.png,collie,1.0,train,target,val
432,003573.png,collie,1.0,train,target,train
433,001663.png,golden_retriever,0.0,train,target,test
434,000430.png,golden_retriever,0.0,train,target,test
435,001404.png,collie,1.0,val,target,train
436,003104.png,golden_retriever,0.0,val,target,train
437,001171.png,golden_retriever,0.0,val,target,test
438,005748.png,collie,1.0,train,target,val
439,002891.png,golden_retriever,0.0,test,target,train
440,003526.png,collie,1.0,val,target,test
441,000893.png,collie,1.0,train,target,test
442,002157.png,collie,1.0,val,target,train
443,004983.png,collie,1.0,val,target,train
444,005563.png,collie,1.0,train,target,train
445,002141.png,collie,1.0,train,target,train
446,002425.png,collie,1.0,val,target,train
447,002748.png,collie,1.0,train,target,test
448,000530.png,golden_retriever,0.0,val,target,val
449,000123.png,collie,1.0,val,target,train
450,001108.png,collie,1.0,test,target,test
451,000720.png,collie,1.0,val,target,train
452,002708.png,golden_retriever,0.0,test,target,test
453,000498.png,golden_retriever,0.0,val,target,train
454,000445.png,golden_retriever,0.0,train,target,train
455,004508.png,collie,1.0,val,target,test
456,001958.png,collie,1.0,train,target,train
457,005395.png,collie,1.0,val,target,train
458,000582.png,golden_retriever,0.0,val,target,train
459,000465.png,collie,1.0,val,target,train
460,002590.png,golden_retriever,0.0,test,target,train
461,002906.png,golden_retriever,0.0,train,target,train
462,005617.png,collie,1.0,train,target,train
463,001167.png,golden_retriever,0.0,train,target,test
464,004943.png,collie,1.0,train,target,val
465,005201.png,collie,1.0,val,target,train
466,000118.png,golden_retriever,0.0,val,target,train
467,002163.png,collie,1.0,val,target,train
468,003400.png,collie,1.0,val,target,val
469,004530.png,collie,1.0,val,target,val
470,001849.png,golden_retriever,0.0,train,target,test
471,003441.png,golden_retriever,0.0,val,target,test
472,002427.png,golden_retriever,0.0,train,target,train
473,000923.png,golden_retriever,0.0,test,target,test
474,001319.png,golden_retriever,0.0,train,target,train
475,000785.png,golden_retriever,0.0,train,target,test
476,002638.png,golden_retriever,0.0,val,target,train
477,000560.png,collie,1.0,train,target,train
478,001142.png,golden_retriever,0.0,train,target,train
479,005964.png,collie,1.0,val,target,test
480,004569.png,collie,1.0,train,target,val
481,000403.png,golden_retriever,0.0,val,target,train
482,001136.png,collie,1.0,test,target,train
483,004865.png,collie,1.0,val,target,test
484,001601.png,golden_retriever,0.0,train,target,val
485,001495.png,golden_retriever,0.0,train,target,train
486,000823.png,golden_retriever,0.0,test,target,val
487,000553.png,golden_retriever,0.0,test,target,train
488,007124.png,collie,1.0,test,target,train
489,001064.png,golden_retriever,0.0,train,target,train
490,005325.png,collie,1.0,val,target,train
491,000825.png,collie,1.0,val,target,train
492,004767.png,collie,1.0,train,target,train
493,005817.png,collie,1.0,train,target,val
494,000731.png,golden_retriever,0.0,train,target,train
495,000602.png,golden_retriever,0.0,train,target,train
496,000404.png,golden_retriever,0.0,test,target,train
497,002178.png,collie,1.0,train,target,test
498,004144.png,collie,1.0,train,target,train
499,001561.png,golden_retriever,0.0,train,target,train
500,001126.png,collie,1.0,train,target,val
501,000182.png,golden_retriever,0.0,val,target,train
502,002024.png,collie,1.0,val,target,test
503,004421.png,collie,1.0,train,target,val
504,003063.png,collie,1.0,train,target,train
505,002225.png,collie,1.0,val,target,train
506,001592.png,collie,1.0,train,target,val
507,004840.png,collie,1.0,train,target,test
508,003972.png,collie,1.0,train,target,train
509,002729.png,golden_retriever,0.0,train,target,train
510,000495.png,collie,1.0,val,target,train
511,000959.png,collie,1.0,test,target,train
512,000334.png,golden_retriever,0.0,train,target,val
513,002212.png,golden_retriever,0.0,test,target,train
514,003693.png,collie,1.0,train,target,train
515,001503.png,golden_retriever,0.0,train,target,train
516,000508.png,golden_retriever,0.0,train,target,train
517,000345.png,collie,1.0,test,target,val
518,006036.png,collie,1.0,test,target,val
519,000330.png,golden_retriever,0.0,train,target,train
520,003213.png,golden_retriever,0.0,train,target,val
521,000089.png,collie,1.0,train,target,train
522,004088.png,collie,1.0,train,target,train
523,000445.png,golden_retriever,0.0,test,target,train
524,002252.png,collie,1.0,train,target,test
525,005221.png,collie,1.0,val,target,train
526,006207.png,collie,1.0,test,target,train
527,005599.png,collie,1.0,train,target,train
528,001898.png,golden_retriever,0.0,train,target,val
529,003340.png,collie,1.0,train,target,test
530,002815.png,golden_retriever,0.0,train,target,train
531,000621.png,golden_retriever,0.0,val,target,test
532,005643.png,collie,1.0,train,target,val
533,000724.png,collie,1.0,test,target,train
534,001378.png,collie,1.0,val,target,train
535,000184.png,golden_retriever,0.0,train,target,train
536,002846.png,collie,1.0,train,target,train
537,003345.png,collie,1.0,train,target,test
538,001582.png,golden_retriever,0.0,val,target,test
539,000214.png,collie,1.0,train,target,test
540,004940.png,collie,1.0,val,target,val
541,000540.png,golden_retriever,0.0,val,target,train
542,000132.png,golden_retriever,0.0,train,target,val
543,002183.png,collie,1.0,train,target,val
544,001053.png,collie,1.0,test,target,val
545,000395.png,golden_retriever,0.0,train,target,test
546,000059.png,collie,1.0,val,target,test
547,007220.png,collie,1.0,test,target,train
548,005784.png,collie,1.0,train,target,val
549,000658.png,collie,1.0,train,target,test
750,007121.png,yorkshire_terrier,7.0,,source,val
751,007512.png,siberian_husky,6.0,,source,train
752,000712.png,miniature_poodle,1.0,train,source,test
753,005286.png,dalmatian,4.0,test,source,train
754,009994.png,siberian_husky,6.0,,source,val
755,001016.png,yorkshire_terrier,7.0,train,source,train
756,010053.png,saint_bernard,2.0,,source,val
757,010031.png,chihuahua,5.0,,source,train
758,001453.png,yorkshire_terrier,7.0,train,source,train
759,008790.png,miniature_poodle,1.0,,source,test
760,003365.png,siberian_husky,6.0,val,source,train
761,001162.png,dalmatian,4.0,train,source,train
762,004728.png,siberian_husky,6.0,test,source,train
763,008243.png,dalmatian,4.0,,source,val
764,008552.png,saint_bernard,2.0,,source,train
765,001842.png,great_dane,3.0,train,source,train
766,000488.png,chihuahua,5.0,train,source,val
767,000690.png,great_dane,3.0,train,source,train
768,003087.png,chihuahua,5.0,val,source,train
769,000884.png,saint_bernard,2.0,train,source,train
770,000653.png,samoyed,0.0,train,source,test
771,009698.png,yorkshire_terrier,7.0,,source,val
772,009428.png,chihuahua,5.0,,source,train
773,005332.png,miniature_poodle,1.0,test,source,train
774,007669.png,great_dane,3.0,,source,test
775,005408.png,chihuahua,5.0,test,source,train
776,003350.png,chihuahua,5.0,val,source,train
777,002889.png,yorkshire_terrier,7.0,val,source,train
778,006688.png,samoyed,0.0,,source,val
779,008661.png,samoyed,0.0,,source,train
780,000263.png,samoyed,0.0,train,source,train
781,002023.png,dalmatian,4.0,train,source,train
782,006463.png,chihuahua,5.0,,source,train
783,007201.png,miniature_poodle,1.0,,source,val
784,004841.png,samoyed,0.0,test,source,test
785,008891.png,great_dane,3.0,,source,val
786,001881.png,yorkshire_terrier,7.0,train,source,val
787,006544.png,samoyed,0.0,,source,val
788,003058.png,great_dane,3.0,val,source,val
789,003358.png,siberian_husky,6.0,val,source,test
790,006620.png,chihuahua,5.0,,source,train
791,001269.png,dalmatian,4.0,train,source,train
792,009745.png,chihuahua,5.0,,source,train
793,008590.png,saint_bernard,2.0,,source,train
794,002686.png,dalmatian,4.0,val,source,train
795,002008.png,yorkshire_terrier,7.0,train,source,train
796,009222.png,great_dane,3.0,,source,test
797,007818.png,saint_bernard,2.0,,source,train
798,002731.png,samoyed,0.0,train,source,train
799,005586.png,chihuahua,5.0,,source,test
800,007801.png,miniature_poodle,1.0,,source,train
801,006768.png,miniature_poodle,1.0,,source,train
802,000994.png,siberian_husky,6.0,train,source,train
803,008517.png,samoyed,0.0,,source,test
804,007248.png,saint_bernard,2.0,,source,test
805,002660.png,dalmatian,4.0,val,source,train
806,006085.png,yorkshire_terrier,7.0,,source,train
807,004447.png,miniature_poodle,1.0,test,source,train
808,004559.png,siberian_husky,6.0,test,source,train
809,007243.png,miniature_poodle,1.0,,source,train
810,002210.png,samoyed,0.0,train,source,train
811,006214.png,siberian_husky,6.0,,source,test
812,001970.png,samoyed,0.0,train,source,train
813,001756.png,samoyed,0.0,train,source,train
814,005092.png,chihuahua,5.0,test,source,train
815,007521.png,saint_bernard,2.0,,source,train
816,006346.png,great_dane,3.0,,source,test
817,006759.png,chihuahua,5.0,,source,train
818,009030.png,great_dane,3.0,,source,test
819,004259.png,miniature_poodle,1.0,test,source,test
820,006394.png,yorkshire_terrier,7.0,,source,train
821,003523.png,yorkshire_terrier,7.0,val,source,train
822,000870.png,samoyed,0.0,train,source,test
823,002274.png,chihuahua,5.0,train,source,train
824,009323.png,miniature_poodle,1.0,,source,train
825,008201.png,samoyed,0.0,,source,val
826,006305.png,great_dane,3.0,,source,train
827,003747.png,great_dane,3.0,val,source,train
828,006541.png,chihuahua,5.0,,source,val
